Ser No,Drone ID,Drone Name,Type,Form Factor,OEM,Range,Weight (KG),Endurance (min),Payload,Payload Weight,Payload Description,Guidance,Anti Ew,C2 Link Frequency,Proc Fund,Serv,Cost (in Thousands),Image Front,Image Back,Image Top,Image Bottom,Unit,Brigade,Division,Corps,Command,KUIN-G
11,CO-CO-BRIG-UNIT-DEM-KAM-11,Demo Drone 011,Kamikaze,Fixed Wg,OEM Alpha,10-30 km,4,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,5.8 GHz,Unit,Ser,657,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,WEKH2L7SIKBSENWX
12,CO-CO-BRIG-UNIT-DEM-LGS-12,Demo Drone 012,Lgs,Swarm,OEM Bravo,10-30 km,5,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,900 MHz,Central,Ser,694,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,Z7PYQ4A7PSBWFU5N
13,CO-CO-BRIG-UNIT-DEM-TRG-13,Demo Drone 013,Trg,QC,OEM Delta,10-30 km,6,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,2.4 GHz,ATG,Ser,731,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,JFHLX7LZZUX2ZXTJ
14,CO-CO-BRIG-UNIT-DEM-SVL-14,Demo Drone 014,Svl (SR),HC,OEM Nova,10-30 km,7,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,5.8 GHz,Regtl,Ser,768,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,TVUO4VLHESCSCS33
15,CO-CO-BRIG-UNIT-DEM-SVL-15,Demo Drone 015,Svl (MR),Fixed Wg,OEM Zenith,10-30 km,8,480,None,1.5,Synthetic payload profile 5,Not Specified,None,900 MHz,Unit,Ser,805,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,DCD64WJUM5VSM7Z3
16,CO-CO-BRIG-UNIT-DEM-FPV-16,Demo Drone 016,FPV,Swarm,OEM Alpha,10-30 km,1,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,2.4 GHz,Central,Ser,842,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,GRDXTE7FEKKU3FJS
17,CO-CO-BRIG-UNIT-DEM-KAM-17,Demo Drone 017,Kamikaze,QC,OEM Bravo,10-30 km,2,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,5.8 GHz,ATG,Ser,879,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,HMFYU5YZSSGXSXQY
18,CO-CO-BRIG-UNIT-DEM-LGS-18,Demo Drone 018,Lgs,HC,OEM Delta,< 5 km,3,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,900 MHz,Regtl,Unser,916,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,TY3G76SKJ75XD2HX
19,CO-CO-BRIG-UNIT-DEM-TRG-19,Demo Drone 019,Trg,Fixed Wg,OEM Nova,< 5 km,4,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,2.4 GHz,Unit,Ser,953,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,ODKAM7OSCM7KNBQ5
20,CO-CO-BRIG-UNIT-DEM-SVL-20,Demo Drone 020,Svl (SR),Swarm,OEM Zenith,< 5 km,5,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,5.8 GHz,Central,Ser,990,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,HUBSGR6J2CEJ4EPH
21,CO-CO-BRIG-UNIT-DEM-SVL-21,Demo Drone 021,Svl (MR),QC,OEM Alpha,5-10 km,6,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,900 MHz,ATG,Ser,1027,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,BWHDMSLI3QA5XBCQ
22,CO-CO-BRIG-UNIT-DEM-FPV-22,Demo Drone 022,FPV,HC,OEM Bravo,5-10 km,7,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,2.4 GHz,Regtl,Ser,1064,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,FEEPGXDL53MOLFQN
23,CO-CO-BRIG-UNIT-DEM-KAM-23,Demo Drone 023,Kamikaze,Fixed Wg,OEM Delta,5-10 km,8,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,5.8 GHz,Unit,Ser,1101,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,BZWFIXPY7KWOKHGF
24,CO-CO-BRIG-UNIT-DEM-LGS-24,Demo Drone 024,Lgs,Swarm,OEM Nova,5-10 km,1,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,900 MHz,Central,Ser,1138,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,AN6MWKR4CCJP5DBD
25,CO-CO-BRIG-UNIT-DEM-TRG-25,Demo Drone 025,Trg,QC,OEM Zenith,5-10 km,2,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,2.4 GHz,ATG,Ser,1175,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,NWDN2O53MOHK732N
26,CO-CO-BRIG-UNIT-DEM-SVL-26,Demo Drone 026,Svl (SR),HC,OEM Alpha,5-10 km,3,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,5.8 GHz,Regtl,Ser,1212,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,PINJNGVF6LZYKL6K
27,CO-CO-BRIG-UNIT-DEM-SVL-27,Demo Drone 027,Svl (MR),Fixed Wg,OEM Bravo,10-30 km,4,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,900 MHz,Unit,Unser,1249,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,U4TLDZAOQUPZTZ6P
28,CO-CO-BRIG-UNIT-DEM-FPV-28,Demo Drone 028,FPV,Swarm,OEM Delta,10-30 km,5,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,2.4 GHz,Central,Ser,1286,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,RCNS4Y7XB7NEDMTT
29,CO-CO-BRIG-UNIT-DEM-KAM-29,Demo Drone 029,Kamikaze,QC,OEM Nova,10-30 km,6,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,5.8 GHz,ATG,Ser,1323,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,OIAOVERJBCJ3FZGE
30,CO-CO-BRIG-UNIT-DEM-LGS-30,Demo Drone 030,Lgs,HC,OEM Zenith,10-30 km,7,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,900 MHz,Regtl,Ser,1360,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,6JNW23OZ4DEXFKBD
31,CO-CO-BRIG-UNIT-DEM-TRG-31,Demo Drone 031,Trg,Fixed Wg,OEM Alpha,10-30 km,8,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,2.4 GHz,Unit,Ser,1397,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,CDVLEKEBGALUN6PB
32,CO-CO-BRIG-UNIT-DEM-SVL-32,Demo Drone 032,Svl (SR),Swarm,OEM Bravo,10-30 km,1,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,5.8 GHz,Central,Ser,1434,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,2G7UTAFTLLOP3FQD
33,CO-CO-BRIG-UNIT-DEM-SVL-33,Demo Drone 033,Svl (MR),QC,OEM Delta,10-30 km,2,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,900 MHz,ATG,Ser,1471,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,JSGSTMGOK2F2JQTJ
34,CO-CO-BRIG-UNIT-DEM-FPV-34,Demo Drone 034,FPV,HC,OEM Nova,10-30 km,3,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,2.4 GHz,Regtl,Ser,1508,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,5XLYXDAHQKEZRLYQ
35,CO-CO-BRIG-UNIT-DEM-KAM-35,Demo Drone 035,Kamikaze,Fixed Wg,OEM Zenith,10-30 km,4,480,None,1.5,Synthetic payload profile 5,Not Specified,None,5.8 GHz,Unit,Ser,1545,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,B2ZNNXXDSKDKFM2M
36,CO-CO-BRIG-UNIT-DEM-LGS-36,Demo Drone 036,Lgs,Swarm,OEM Alpha,< 5 km,5,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,900 MHz,Central,Unser,1582,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,WA2ETSUMJEV4CNAS
37,CO-CO-BRIG-UNIT-DEM-TRG-37,Demo Drone 037,Trg,QC,OEM Bravo,< 5 km,6,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,2.4 GHz,ATG,Ser,1619,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,43UM6ITX3IXWEMWE
38,CO-CO-BRIG-UNIT-DEM-SVL-38,Demo Drone 038,Svl (SR),HC,OEM Delta,< 5 km,7,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,5.8 GHz,Regtl,Ser,1656,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,QIHBOQXP4TT54JSX
39,CO-CO-BRIG-UNIT-DEM-SVL-39,Demo Drone 039,Svl (MR),Fixed Wg,OEM Nova,5-10 km,8,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,900 MHz,Unit,Ser,1693,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,N5AFUPKJS6OUMDGD
40,CO-CO-BRIG-UNIT-DEM-FPV-40,Demo Drone 040,FPV,Swarm,OEM Zenith,5-10 km,1,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,2.4 GHz,Central,Ser,1730,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,BJL5MORXNU3UKG4E
41,CO-CO-BRIG-UNIT-DEM-KAM-41,Demo Drone 041,Kamikaze,QC,OEM Alpha,5-10 km,2,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,5.8 GHz,ATG,Ser,1767,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,2TJ4YUNECM3XDMGL
42,CO-CO-BRIG-UNIT-DEM-LGS-42,Demo Drone 042,Lgs,HC,OEM Bravo,5-10 km,3,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,900 MHz,Regtl,Ser,1804,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,Z4OLEIUWSD7DXZDO
43,CO-CO-BRIG-UNIT-DEM-TRG-43,Demo Drone 043,Trg,Fixed Wg,OEM Delta,5-10 km,4,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,2.4 GHz,Unit,Ser,1841,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,54TQR6NGACIN2SZ2
44,CO-CO-BRIG-UNIT-DEM-SVL-44,Demo Drone 044,Svl (SR),Swarm,OEM Nova,5-10 km,5,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,5.8 GHz,Central,Ser,1878,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,CO6UIMHH4XZZIH6P
45,CO-CO-BRIG-UNIT-DEM-SVL-45,Demo Drone 045,Svl (MR),QC,OEM Zenith,10-30 km,6,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,900 MHz,ATG,Unser,1915,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,SE4GJPMYWUIUYWL3
46,CO-CO-BRIG-UNIT-DEM-FPV-46,Demo Drone 046,FPV,HC,OEM Alpha,10-30 km,7,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,2.4 GHz,Regtl,Ser,1952,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,SVXMRVZVSS4OGRUV
47,CO-CO-BRIG-UNIT-DEM-KAM-47,Demo Drone 047,Kamikaze,Fixed Wg,OEM Bravo,10-30 km,8,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,5.8 GHz,Unit,Ser,1989,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,Y3VUS6ZJT7AD3OWW
48,CO-CO-BRIG-UNIT-DEM-LGS-48,Demo Drone 048,Lgs,Swarm,OEM Delta,10-30 km,1,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,900 MHz,Central,Ser,2026,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,HSWGNAMZAH3A4OCZ
49,CO-CO-BRIG-UNIT-DEM-TRG-49,Demo Drone 049,Trg,QC,OEM Nova,10-30 km,2,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,2.4 GHz,ATG,Ser,2063,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,QZVMVSPDHQYRVAPX
50,CO-CO-BRIG-UNIT-DEM-SVL-50,Demo Drone 050,Svl (SR),HC,OEM Zenith,10-30 km,3,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,5.8 GHz,Regtl,Ser,2100,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,ULYGUGGUVHEWQVV4
51,CO-CO-BRIG-UNIT-DEM-SVL-51,Demo Drone 051,Svl (MR),Fixed Wg,OEM Alpha,10-30 km,4,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,900 MHz,Unit,Ser,2137,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,DVLF5XVWUH43KPOO
52,CO-CO-BRIG-UNIT-DEM-FPV-52,Demo Drone 052,FPV,Swarm,OEM Bravo,10-30 km,5,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,2.4 GHz,Central,Ser,2174,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,UH3RYZ7IOI4AKOPI
53,CO-CO-BRIG-UNIT-DEM-KAM-53,Demo Drone 053,Kamikaze,QC,OEM Delta,10-30 km,6,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,5.8 GHz,ATG,Ser,2211,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,LJVJPIHGEPMWZHDN
54,CO-CO-BRIG-UNIT-DEM-LGS-54,Demo Drone 054,Lgs,HC,OEM Nova,< 5 km,7,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,900 MHz,Regtl,Unser,2248,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,ZMV4E4VEIN4CQZW2
55,CO-CO-BRIG-UNIT-DEM-TRG-55,Demo Drone 055,Trg,Fixed Wg,OEM Zenith,< 5 km,8,480,None,1.5,Synthetic payload profile 5,Not Specified,None,2.4 GHz,Unit,Ser,2285,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,FCXYBWTOWB4JFVGK
56,CO-CO-BRIG-UNIT-DEM-SVL-56,Demo Drone 056,Svl (SR),Swarm,OEM Alpha,< 5 km,1,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,5.8 GHz,Central,Ser,2322,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,SNI3Y4Y45DNKGDZS
57,CO-CO-BRIG-UNIT-DEM-SVL-57,Demo Drone 057,Svl (MR),QC,OEM Bravo,5-10 km,2,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,900 MHz,ATG,Ser,2359,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,R2JRPZOO4I7ZBF45
58,CO-CO-BRIG-UNIT-DEM-FPV-58,Demo Drone 058,FPV,HC,OEM Delta,5-10 km,3,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,2.4 GHz,Regtl,Ser,2396,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,6LUL2T4BM76TLU4U
59,CO-CO-BRIG-UNIT-DEM-KAM-59,Demo Drone 059,Kamikaze,Fixed Wg,OEM Nova,5-10 km,4,120,Training Camera,1.9,Synthetic payload profile 4,Tethered drone,None,5.8 GHz,Unit,Ser,2433,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,IUF7UWKRGMEGJJIX
60,CO-CO-BRIG-UNIT-DEM-LGS-60,Demo Drone 060,Lgs,Swarm,OEM Zenith,5-10 km,5,480,None,0,Synthetic payload profile 5,Not Specified,Not Specified,900 MHz,Central,Ser,2470,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,XUIE6BQO75OZEZQI
61,CO-CO-BRIG-UNIT-DEM-TRG-61,Demo Drone 061,Trg,QC,OEM Alpha,5-10 km,6,20,Day Night Cam,0.1,Synthetic payload profile 1,Comd,RTH,2.4 GHz,ATG,Ser,2507,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,MDKLFBDBUBFWCQR4
62,CO-CO-BRIG-UNIT-DEM-SVL-62,Demo Drone 062,Svl (SR),HC,OEM Bravo,5-10 km,7,35,Thermal Cam,0.2,Synthetic payload profile 2,GNSS (GPS),Anti-jam,5.8 GHz,Regtl,Ser,2544,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,HYTLCWLGEERBVVNG
63,CO-CO-BRIG-UNIT-DEM-SVL-63,Demo Drone 063,Svl (MR),Fixed Wg,OEM Delta,10-30 km,8,60,Mapping Sensor,0.3,Synthetic payload profile 3,Spool,None,900 MHz,Unit,Unser,2581,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,7LV2BLI56FGBMZDB
64,CO-CO-BRIG-UNIT-DEM-FPV-64,Demo Drone 064,FPV,Swarm,OEM Nova,10-30 km,1,120,Training Camera,0.4,Synthetic payload profile 4,Tethered drone,Not Specified,2.4 GHz,Central,Ser,2618,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,CNBVMBNSY7VQUN33
65,CO-CO-BRIG-UNIT-DEM-KAM-65,Demo Drone 065,Kamikaze,QC,OEM Zenith,10-30 km,2,480,None,0.5,Synthetic payload profile 5,Not Specified,RTH,5.8 GHz,ATG,Ser,2655,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,ONESSYHKZN6HHTHJ
66,CO-CO-BRIG-UNIT-DEM-LGS-66,Demo Drone 066,Lgs,HC,OEM Alpha,10-30 km,3,20,Day Night Cam,0.6,Synthetic payload profile 1,Comd,Anti-jam,900 MHz,Regtl,Ser,2692,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,G2H4LQWWIXQFU2KW
67,CO-CO-BRIG-UNIT-DEM-TRG-67,Demo Drone 067,Trg,Fixed Wg,OEM Bravo,10-30 km,4,35,Thermal Cam,0.7,Synthetic payload profile 2,GNSS (GPS),None,2.4 GHz,Unit,Ser,2729,Dummy image placeholder,,,,Unit 7,Brigade 1,Division Alpha,Corps North,Command East,52YQYAVY4NZPI7SK
68,CO-CO-BRIG-UNIT-DEM-SVL-68,Demo Drone 068,Svl (SR),Swarm,OEM Delta,10-30 km,5,60,Mapping Sensor,0.8,Synthetic payload profile 3,Spool,Not Specified,5.8 GHz,Central,Ser,2766,Dummy image placeholder,,,,Unit 8,Brigade 2,Division Alpha,Corps North,Command East,HQOVVO4GSH3ZN22U
69,CO-CO-BRIG-UNIT-DEM-SVL-69,Demo Drone 069,Svl (MR),QC,OEM Nova,10-30 km,6,120,Training Camera,0.9,Synthetic payload profile 4,Tethered drone,RTH,900 MHz,ATG,Ser,2803,Dummy image placeholder,,,,Unit 9,Brigade 3,Division Alpha,Corps North,Command East,TQ23RM2YT5EXVR7T
70,CO-CO-BRIG-UNIT-DEM-FPV-70,Demo Drone 070,FPV,HC,OEM Zenith,10-30 km,7,480,None,1,Synthetic payload profile 5,Not Specified,Anti-jam,2.4 GHz,Regtl,Ser,2840,Dummy image placeholder,,,,Unit 10,Brigade 4,Division Alpha,Corps North,Command East,FUGAFRECJSSHKMM2
71,CO-CO-BRIG-UNIT-DEM-KAM-71,Demo Drone 071,Kamikaze,Fixed Wg,OEM Alpha,10-30 km,8,20,Day Night Cam,1.1,Synthetic payload profile 1,Comd,None,5.8 GHz,Unit,Ser,2877,Dummy image placeholder,,,,Unit 11,Brigade 5,Division Alpha,Corps North,Command East,TRNOYU47MXKTYF24
72,CO-CO-BRIG-UNIT-DEM-LGS-72,Demo Drone 072,Lgs,Swarm,OEM Bravo,< 5 km,1,35,Thermal Cam,1.2,Synthetic payload profile 2,GNSS (GPS),Not Specified,900 MHz,Central,Unser,2914,Dummy image placeholder,,,,Unit 12,Brigade 6,Division Alpha,Corps North,Command East,SDCVJN2VH24PRL5X
73,CO-CO-BRIG-UNIT-DEM-TRG-73,Demo Drone 073,Trg,QC,OEM Delta,< 5 km,2,60,Mapping Sensor,1.3,Synthetic payload profile 3,Spool,RTH,2.4 GHz,ATG,Ser,2951,Dummy image placeholder,,,,Unit 1,Brigade 1,Division Alpha,Corps North,Command East,BT3JPLQ64FV6J32H
74,CO-CO-BRIG-UNIT-DEM-SVL-74,Demo Drone 074,Svl (SR),HC,OEM Nova,< 5 km,3,120,Training Camera,1.4,Synthetic payload profile 4,Tethered drone,Anti-jam,5.8 GHz,Regtl,Ser,2988,Dummy image placeholder,,,,Unit 2,Brigade 2,Division Alpha,Corps North,Command East,JFULPFONJLO6DM6L
75,CO-CO-BRIG-UNIT-DEM-SVL-75,Demo Drone 075,Svl (MR),Fixed Wg,OEM Zenith,5-10 km,4,480,None,1.5,Synthetic payload profile 5,Not Specified,None,900 MHz,Unit,Ser,3025,Dummy image placeholder,,,,Unit 3,Brigade 3,Division Alpha,Corps North,Command East,TTRXKWESS3WWGKXA
76,CO-CO-BRIG-UNIT-DEM-FPV-76,Demo Drone 076,FPV,Swarm,OEM Alpha,5-10 km,5,20,Day Night Cam,1.6,Synthetic payload profile 1,Comd,Not Specified,2.4 GHz,Central,Ser,3062,Dummy image placeholder,,,,Unit 4,Brigade 4,Division Alpha,Corps North,Command East,MDWQ535JC4OGTFY5
77,CO-CO-BRIG-UNIT-DEM-KAM-77,Demo Drone 077,Kamikaze,QC,OEM Bravo,5-10 km,6,35,Thermal Cam,1.7,Synthetic payload profile 2,GNSS (GPS),RTH,5.8 GHz,ATG,Ser,3099,Dummy image placeholder,,,,Unit 5,Brigade 5,Division Alpha,Corps North,Command East,M4SJRYWJLIV67HQ4
78,CO-CO-BRIG-UNIT-DEM-LGS-78,Demo Drone 078,Lgs,HC,OEM Delta,5-10 km,7,60,Mapping Sensor,1.8,Synthetic payload profile 3,Spool,Anti-jam,900 MHz,Regtl,Ser,3136,Dummy image placeholder,,,,Unit 6,Brigade 6,Division Alpha,Corps North,Command East,XLZ24NDTUXF3XMZZ
